Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IA,1970.12,2771,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1971.12,2076,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1972.12,2037,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1973.12,2101,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1974.12,1282,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1975.12,507,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1976.12,257,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1977.12,188,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1978.12,96,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1979.12,39,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1980.12,25,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1981.12,896,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1982.12,742,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1983.12,704,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,1984.12,970,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
